fps,name,food_eaten,food_lost,points_gained,points_lost,crashed,winner,times,mapa
50,agent1,1,13,10,0,0,1,0.17825020441537204,qualify1.bmp
50,student,1,1,10,-260,0,1,2.940085592011412,qualify1.bmp
50,agent1,1,1,10,0,1,0,0.15549215406562053,qualify1.bmp
50,student,0,0,0,-10,0,1,2.7222222222222223,qualify1.bmp
50,agent1,0,0,0,0,1,0,0.1111111111111111,qualify1.bmp
50,student,6,1,60,-1250,0,1,4.824480369515012,qualify1.bmp
50,agent1,1,6,10,0,0,0,0.1651270207852194,qualify1.bmp
20,student,0,0,0,-10,1,0,31.0,qualify1.bmp
20,agent1,0,0,0,0,0,1,0.0,qualify1.bmp
20,student,0,0,0,0,1,0,11.0,qualify1.bmp
20,agent1,0,0,0,0,0,1,0.0,qualify1.bmp
20,student,0,0,0,-20,1,0,15.571428571428571,qualify1.bmp
20,agent1,0,0,0,0,0,1,0.2857142857142857,qualify1.bmp
20,student,4,1,40,-20,0,1,1.4858757062146892,qualify1.bmp
20,agent1,1,4,10,0,0,0,0.1271186440677966,qualify1.bmp
20,student,3,0,30,-40,1,0,2.160206718346253,qualify1.bmp
20,agent1,0,3,0,0,0,0,0.1524547803617571,qualify1.bmp
